DateTimeUTC,temp_01ft,temp_05ft,temp_10ft,temp_40ft,temp_70ft
"2025-12-01 08:00:00","1347332.91234561"
"2025-12-02 08:00:00","1347156.75820843"
"2025-12-03 08:00:00","1346989.86952609"
"2025-12-04 08:00:00","1346268.66258868"
"2025-12-05 08:00:00","1345999.87619014"
"2025-12-06 08:00:00","1345923.90820706"
"2025-12-07 08:00:00","1345669.94758495"
"2025-12-08 08:00:00","1345223.30492134"
"2025-12-09 08:00:00","1345010.17198072"
"2025-12-10 08:00:00","1344761.85673156"
"2025-12-11 08:00:00","1344587.680289"
"2025-12-12 08:00:00","1344263.45236031"
"2025-12-13 08:00:00","1344035.58327207"
"2025-12-14 08:00:00","1343733.64719167"
"2025-12-15 08:00:00","1343453.96588965"
"2025-12-16 08:00:00","1343141.13957076"
"2025-12-17 08:00:00","1343000.2189803"
"2025-12-18 08:00:00","1342742.78384286"
"2025-12-19 08:00:00","1342198.43257101"
"2025-12-20 08:00:00","1342361.32694871"
"2025-12-20 20:15:00","368.4061338"
"2025-12-20 20:30:00","368.4034057"
"2025-12-20 20:45:00","56.30956","55.12977","54.99546","54.6139","54.01865"
"2025-12-20 20:45:00","368.3886752"
"2025-12-20 21:00:00","56.32025","55.06108","55.18014","54.64289","54.00645"
"2025-12-20 21:00:00","368.4214104"
"2025-12-20 21:15:00","56.26072","55.1084","55.15267","54.57116","54.03239"
"2025-12-20 21:15:00","368.4095891"
"2025-12-20 21:30:00","56.33246","55.11603","55.12977","54.54217","54.0736"
"2025-12-20 21:30:00","368.4170453"
"2025-12-20 21:45:00","56.34772","55.12977","55.13435","54.56353","54.10412"
"2025-12-20 21:45:00","368.394494"
"2025-12-20 22:00:00","56.37061","55.0855","55.11603","54.53606","54.08886"
"2025-12-20 22:00:00","368.4057697"
"2025-12-20 22:15:00","56.39198","55.11603","55.14809","54.5559","54.14228"
"2025-12-20 22:15:00","368.3961309"
"2025-12-20 22:30:00","56.41335","55.09467","55.14656","54.54217","54.09191"
"2025-12-20 22:30:00","368.4132265"
"2025-12-20 22:45:00","56.41182","55.07787","55.09161","54.52538","54.1255"
"2025-12-20 22:45:00","368.4081343"
"2025-12-20 23:00:00","56.41182","55.11755","55.07635","54.5849","54.08886"
"2025-12-20 23:00:00","368.4161356"
"2025-12-20 23:15:00","56.40724","55.10077","55.12214","54.55743","54.10718"
"2025-12-20 23:15:00","368.4043149"
"2025-12-20 23:30:00","56.39198","55.05193","55.08855","54.60474","54.11786"
"2025-12-20 23:30:00","368.4143172"
"2025-12-20 23:45:00","56.3584","55.0794","55.11145","54.62305","54.16518"
"2025-12-20 23:45:00","368.4077707"
"2025-12-21 00:00:00","56.32941","55.0855","55.09772","54.63374","54.2186"
"2025-12-21 00:00:00","368.4032241"
"2025-12-21 00:15:00","56.33704","55.03971","55.06108","54.60779","54.29491"
"2025-12-21 00:15:00","368.4077707"
"2025-12-21 00:30:00","56.30193","55.0275","55.03971","54.66579","54.19265"
"2025-12-21 00:30:00","368.4043149"
"2025-12-21 00:45:00","56.23478","55.03209","55.12671","54.59864","54.30102"
"2025-12-21 00:45:00","368.4146807"
"2025-12-21 01:00:00","56.26072","55.07024","54.92373","54.68563","54.34375"
"2025-12-21 01:00:00","368.4068609"
"2025-12-21 01:15:00","56.23325","55.05498","55.05956","54.6139","54.36664"
"2025-12-21 01:15:00","368.4103162"
"2025-12-21 01:30:00","56.23172","55.04277","55.10992","54.62153","54.21707"
"2025-12-21 01:30:00","368.4130444"
"2025-12-21 01:45:00","56.06536","55.04277","55.1145","54.61084","54.30254"
"2025-12-21 01:45:00","368.4059518"
"2025-12-21 02:00:00","56.19052","55.06108","55.11603","54.64137","54.30712"
"2025-12-21 02:00:00","368.4023144"
"2025-12-21 02:15:00","56.19204","55.05346","55.16335","54.62458","54.20028"
"2025-12-21 02:15:00","368.3934028"
"2025-12-21 02:30:00","56.20273","55.03819","55.14504","54.66121","54.11176"
"2025-12-21 02:30:00","368.4021323"
"2025-12-21 02:45:00","56.19815","55.06566","55.14351","54.60779","54.13313"
"2025-12-21 02:45:00","368.4063153"
"2025-12-21 03:00:00","56.23935","55.07787","55.1313","54.649","54.09955"
"2025-12-21 03:00:00","368.4024959"
"2025-12-21 03:15:00","56.2012","55.07329","55.16335","54.66884","54.05986"
"2025-12-21 03:15:00","368.3954038"
"2025-12-21 03:30:00","56.24088","55.09008","55.15572","54.68258","54.03544"
"2025-12-21 03:30:00","368.4077707"
"2025-12-21 03:45:00","56.22104","55.10382","55.15572","54.66579","54.03849"
"2025-12-21 03:45:00","368.4019508"
"2025-12-21 04:00:00","56.25767","55.11145","55.15114","54.67647","54.01255"
"2025-12-21 04:00:00","368.3934028"
"2025-12-21 04:15:00","56.21341","55.06566","55.19083","54.71768","54.05223"
"2025-12-21 04:15:00","368.4032241"
"2025-12-21 04:30:00","56.22104","55.0794","55.15725","54.69936","53.97592"
"2025-12-21 04:30:00","368.3994047"
"2025-12-21 04:45:00","56.20731","55.04888","55.1664","54.66121","54.05376"
"2025-12-21 04:45:00","368.4024959"
"2025-12-21 05:00:00","56.2363","55.06414","55.16335","54.63679","53.94692"
"2025-12-21 05:00:00","368.4008596"
"2025-12-21 05:15:00","56.22409","55.07024","54.98325","54.62305","53.96676"
"2025-12-21 05:15:00","368.396313"
"2025-12-21 05:30:00","56.21188","55.09008","55.11298","54.66579","53.96371"
"2025-12-21 05:30:00","368.3968586"
"2025-12-21 05:45:00","56.17678","55.09772","55.13282","54.54522","53.91182"
"2025-12-21 05:45:00","368.3999504"
"2025-12-21 06:00:00","56.23172","55.05498","55.12825","54.66579","53.8645"
"2025-12-21 06:00:00","368.4103162"
"2025-12-21 06:15:00","56.16456","55.04734","55.13435","54.65968","53.9576"
"2025-12-21 06:15:00","368.3957674"
"2025-12-21 06:30:00","56.22104","54.94204","55.1313","54.60779","53.91945"
"2025-12-21 06:30:00","368.4128623"
"2025-12-21 06:45:00","56.20425","55.03209","55.1084","54.65205","53.91487"
"2025-12-21 06:45:00","368.3952217"
"2025-12-21 07:00:00","56.19815","54.99393","55.10382","54.65968","53.91639"
"2025-12-21 07:00:00","368.3994047"
